Name,Fan RPM,Noise Level,Color,Radiator Size,Rating,Price
Thermalright Peerless Assassin 120 SE (152),Fan RPM1550 RPM,Noise Level25.6 dB,ColorBlack / Silver,Radiator Size,(152),€46.90Add
ARCTIC Liquid Freezer III Pro 360 (31),Fan RPM600 - 3000 RPM,Noise Level,ColorBlack,Radiator Size360 mm,(31),€86.99Add
Cooler Master Hyper 212 Black Edition (197),Fan RPM650 - 2000 RPM,Noise Level6.5 - 26 dB,ColorBlack,Radiator Size,(197),€52.12Add
Thermalright Aqua Elite V3 (36),Fan RPM1500 RPM,Noise Level25.6 dB,ColorBlack,Radiator Size360 mm,(36),€73.90Add
Corsair NAUTILUS 360 RS ARGB (16),Fan RPM2100 RPM,Noise Level34 dB,ColorBlack,Radiator Size360 mm,(16),€119.54Add
ARCTIC Liquid Freezer III Pro A-RGB 360 (24),Fan RPM600 - 3000 RPM,Noise Level,ColorBlack,Radiator Size360 mm,(24),€100.10Add
Thermalright Phantom Spirit 120 SE ARGB (79),Fan RPM1500 RPM,Noise Level25.6 dB,ColorBlack / Silver,Radiator Size,(79),€47.90Add
Thermalright Assassin X 120 Refined SE (65),Fan RPM1550 RPM,Noise Level25.6 dB,ColorBlack / Silver,Radiator Size,(65),Add
Noctua NH-D15 chromax.black (244),Fan RPM300 - 1500 RPM,Noise Level19.2 - 24.6 dB,ColorBlack,Radiator Size,(244),€118.49Add
ARCTIC Liquid Freezer III Pro A-RGB 360 (10),Fan RPM600 - 3000 RPM,Noise Level,ColorWhite,Radiator Size360 mm,(10),€100.10Add
Thermalright Aqua Elite V3 (21),Fan RPM1500 RPM,Noise Level25.6 dB,ColorBlack,Radiator Size240 mm,(21),€57.20Add
be quiet! Dark Rock Pro 5 (22),Fan RPM1300 - 2000 RPM,Noise Level8.9 - 23.3 dB,ColorBlack,Radiator Size,(22),€93.89Add
Corsair NAUTILUS 360 RS ARGB (6),Fan RPM2100 RPM,Noise Level34 dB,ColorWhite,Radiator Size360 mm,(6),€123.64Add
NZXT Kraken 240 (24),Fan RPM500 - 1800 RPM,Noise Level17.9 - 30.6 dB,ColorBlack,Radiator Size240 mm,(24),€147.84Add
AMD Wraith Prism (23),Fan RPM2800 RPM,Noise Level42 dB,Color,Radiator Size,(23),€129.00Add
NZXT Kraken Elite 360 RGB (2024) (10),Fan RPM500 - 2400 RPM,Noise Level30 dB,ColorWhite,Radiator Size360 mm,(10),€335.94Add
ARCTIC Liquid Freezer III Pro (7),Fan RPM600 - 3000 RPM,Noise Level,ColorBlack,Radiator Size240 mm,(7),€74.98Add
Corsair iCUE LINK TITAN 360 RX LCD (10),Fan RPM300 - 2100 RPM,Noise Level10 - 36 dB,ColorBlack,Radiator Size360 mm,(10),€229.90Add
Thermalright Phantom Spirit 120 SE (91),Fan RPM1500 RPM,Noise Level25.6 dB,ColorBlack / Silver,Radiator Size,(91),€49.59Add
Noctua NH-D15 (186),Fan RPM300 - 1500 RPM,Noise Level19.2 - 24.6 dB,Color,Radiator Size,(186),€113.00Add
ARCTIC Freezer 36 (22),Fan RPM200 - 1800 RPM,Noise Level,ColorBlack,Radiator Size,(22),€34.18Add
ID-COOLING SE-214-XT ARGB (54),Fan RPM500 - 1500 RPM,Noise Level13.8 - 30.5 dB,ColorBlack,Radiator Size,(54),Add
Thermalright Peerless Assassin 120 SE ARGB (66),Fan RPM1550 RPM,Noise Level25.6 dB,ColorBlack,Radiator Size,(66),€36.39Add
Cooler Master Hyper 212 Spectrum V3 (14),Fan RPM650 - 1750 RPM,Noise Level27.2 dB,ColorBlack / Silver,Radiator Size,(14),€35.39Add
MSI MPG CORELIQUID D360 (0),Fan RPM,Noise Level,ColorBlack,Radiator Size360 mm,(0),Add
Cooler Master MasterLiquid 360L Core ARGB (22),Fan RPM350 - 1750 RPM,Noise Level27.2 dB,ColorBlack,Radiator Size360 mm,(22),€90.71Add
Thermalright Peerless Assassin 120 SE WHITE ARGB (51),Fan RPM1550 RPM,Noise Level25.6 dB,ColorWhite,Radiator Size,(51),Add
Thermalright Phantom Spirit EVO (47),Fan RPM2150 RPM,Noise Level27 dB,ColorBlack,Radiator Size,(47),€60.90Add
Asus ROG Ryujin III 360 ARGB Extreme (1),Fan RPM1 - 2800 RPM,Noise Level36 dB,ColorBlack,Radiator Size360 mm,(1),€399.00Add
Fractal Design Celsius+ S36 Prisma PWM ARGB (3),Fan RPM500 - 2000 RPM,Noise Level32.7 dB,ColorBlack,Radiator Size360 mm,(3),Out of stock€259.69Add
NZXT Kraken Elite 360 (2024) (14),Fan RPM500 - 2000 RPM,Noise Level30 dB,ColorBlack,Radiator Size360 mm,(14),€270.12Add
TRYX PANORAMA SE ARGB (4),Fan RPM500 - 1850 RPM,Noise Level,ColorBlack,Radiator Size360 mm,(4),€300.20Add
Lian Li Hydroshift LCD 360S (5),Fan RPM200 - 2500 RPM,Noise Level29.8 dB,ColorWhite,Radiator Size360 mm,(5),€192.87Add
Corsair NAUTILUS 240 RS ARGB (4),Fan RPM2100 RPM,Noise Level34 dB,ColorBlack,Radiator Size240 mm,(4),€90.99Add
Noctua NH-L9A-AM5 (3),Fan RPM600 - 2500 RPM,Noise Level14.8 - 23.6 dB,ColorBrown / Silver,Radiator Size,(3),€49.90Add
be quiet! Pure Rock 3 (2),Fan RPM2000 RPM,Noise Level12.4 - 31.2 dB,ColorBlack,Radiator Size,(2),€39.00Add
Corsair iCUE LINK TITAN 360 RX LCD (3),Fan RPM300 - 2100 RPM,Noise Level10 - 36 dB,ColorWhite,Radiator Size360 mm,(3),€239.00Add
Cooler Master MasterLiquid 240L Core ARGB (7),Fan RPM350 - 1750 RPM,Noise Level27.2 dB,ColorBlack,Radiator Size240 mm,(7),€67.84Add
Thermalright Frozen Infinity 360 ARGB (13),Fan RPM2000 RPM,Noise Level28.2 dB,ColorWhite,Radiator Size360 mm,(13),€66.90Add
ID-COOLING SE-903-XT (4),Fan RPM500 - 2200 RPM,Noise Level25.8 dB,ColorBlack,Radiator Size,(4),Add
MSI MAG CORELIQUID A13 (5),Fan RPM,Noise Level,ColorBlack,Radiator Size360 mm,(5),€66.95Add
Corsair NAUTILUS 360 RS LCD (3),Fan RPM2100 RPM,Noise Level10 - 36 dB,ColorBlack,Radiator Size360 mm,(3),€159.90Add
Lian Li Galahad II Trinity SL-INF (27),Fan RPM2100 RPM,Noise Level29 dB,ColorBlack,Radiator Size360 mm,(27),€175.95Add
TRYX PANORAMA SE ARGB (7),Fan RPM500 - 1850 RPM,Noise Level,ColorWhite,Radiator Size360 mm,(7),€299.00Add
Noctua NH-L9x65 chromax.black (3),Fan RPM600 - 2500 RPM,Noise Level14.8 - 23.6 dB,ColorBlack,Radiator Size,(3),€69.90Add
Noctua NH-L9A-AM5 CHROMAX.BLACK (3),Fan RPM600 - 2500 RPM,Noise Level14.8 - 23.6 dB,ColorBlack,Radiator Size,(3),€59.90Add
Thermalright Assassin Spirit 120 EVO (21),Fan RPM2000 RPM,Noise Level28.2 dB,ColorBlack,Radiator Size,(21),€23.66Add
Corsair NAUTILUS 360 RS (4),Fan RPM2100 RPM,Noise Level34 dB,ColorBlack,Radiator Size360 mm,(4),€108.52Add
Asus ROG Ryuo IV SLC 360 ARGB (0),Fan RPM800 - 2650 RPM,Noise Level39.6 dB,ColorBlack,Radiator Size360 mm,(0),€399.75Add
ID-COOLING FROZN A620 PRO SE (10),Fan RPM300 - 2000 RPM,Noise Level27.2 dB,ColorBlack,Radiator Size,(10),Add
Thermalright Frozen Notte ARGB (30),Fan RPM2000 RPM,Noise Level27.7 dB,ColorBlack,Radiator Size360 mm,(30),€60.90Add
Thermalright Aqua Elite V3 (21),Fan RPM1500 RPM,Noise Level25.6 dB,ColorWhite,Radiator Size360 mm,(21),Add
be quiet! Pure Rock Pro 3 (3),Fan RPM2000 RPM,Noise Level14 - 34.8 dB,ColorBlack,Radiator Size,(3),€54.67Add
MSI MAG CORELIQUID A13 (4),Fan RPM,Noise Level,ColorBlack,Radiator Size240 mm,(4),€55.95Add
Thermalright AXP90-X47 (9),Fan RPM2700 RPM,Noise Level22.4 dB,ColorBlack,Radiator Size,(9),Add
Lian Li Hydroshift LCD 360S (8),Fan RPM200 - 2500 RPM,Noise Level29.8 dB,ColorBlack,Radiator Size360 mm,(8),€188.69Add
Intel E97379-001 (38),Fan RPM1200 - 2800 RPM,Noise Level22 dB,ColorSilver / Black,Radiator Size,(38),Add
ARCTIC Liquid Freezer III Pro (2),Fan RPM400 - 2500 RPM,Noise Level,ColorBlack,Radiator Size420 mm,(2),€103.69Add
Thermalright Assassin X Refined SE ARGB (7),Fan RPM1550 RPM,Noise Level25.6 dB,ColorBlack / Silver,Radiator Size,(7),€22.80Add
NZXT Kraken Elite RGB (2025) (2),Fan RPM500 - 2000 RPM,Noise Level34.5 dB,ColorBlack,Radiator Size420 mm,(2),€344.99Add
Deepcool AK400 (33),Fan RPM500 - 1850 RPM,Noise Level29 dB,ColorBlack / Silver,Radiator Size,(33),€39.86Add
Noctua NH-D15 G2 chromax.black (0),Fan RPM,Noise Level0 - 24.8 dB,ColorBlack,Radiator Size,(0),€159.90Add
be quiet! Silent Loop 3 (5),Fan RPM2500 RPM,Noise Level19.8 - 38.8 dB,ColorBlack,Radiator Size360 mm,(5),€151.69Add
Corsair iCUE LINK TITAN 360 RX RGB (9),Fan RPM300 - 2100 RPM,Noise Level,ColorBlack,Radiator Size360 mm,(9),€184.95Add
ARCTIC Alpine 23 (1),Fan RPM100 - 2000 RPM,Noise Level,ColorWhite / Black,Radiator Size,(1),€12.99Add
Thermalright Assassin X SE (6),Fan RPM2200 RPM,Noise Level23.85 dB,ColorBlack / Silver,Radiator Size,(6),€27.87Add
Noctua NH-D9L (35),Fan RPM400 - 2000 RPM,Noise Level16.3 - 22.8 dB,Color,Radiator Size,(35),€59.90Add
TRYX PANORAMA ARGB (2025) (3),Fan RPM500 - 1850 RPM,Noise Level28.87 dB,ColorBlack,Radiator Size360 mm,(3),€388.70Add
Thermalright AQUA ELITE ARGB V4 (7),Fan RPM1550 RPM,Noise Level25.6 dB,ColorBlack,Radiator Size360 mm,(7),Add
Noctua NH-U12A chromax.black (63),Fan RPM450 - 2000 RPM,Noise Level18.8 - 22.6 dB,ColorBlack,Radiator Size,(63),€129.90Add
ID-COOLING SE-214-XT ARGB (25),Fan RPM500 - 1500 RPM,Noise Level13.8 - 30.5 dB,ColorWhite,Radiator Size,(25),Add
Cooler Master Hyper 212 RGB Black Edition (241),Fan RPM650 - 2000 RPM,Noise Level8 - 30 dB,ColorBlack,Radiator Size,(241),Add
NZXT Kraken 360 RGB (13),Fan RPM500 - 1800 RPM,Noise Level17.9 - 30.6 dB,ColorBlack,Radiator Size360 mm,(13),Out of stock€229.69Add
Thermalright Frozen Infinity 360 ARGB (14),Fan RPM2000 RPM,Noise Level28.2 dB,ColorBlack,Radiator Size360 mm,(14),€66.90Add
Iceberg Thermal IceFLOE T95 (0),Fan RPM1000 - 2200 RPM,Noise Level32.3 dB,ColorTeal / Silver,Radiator Size,(0),Add
Thermalright Assassin X 120 R Digital ARGB (8),Fan RPM2000 RPM,Noise Level29.8 dB,ColorBlack,Radiator Size,(8),€29.60Add
Thermalright Phantom Spirit 120 SE (10),Fan RPM1500 RPM,Noise Level25.6 dB,ColorBlack,Radiator Size,(10),€48.54Add
Thermalright AXP90-X36 (5),Fan RPM2700 RPM,Noise Level22.4 dB,ColorGray,Radiator Size,(5),€38.35Add
Corsair iCUE LINK H100i RGB (2),Fan RPM480 - 2400 RPM,Noise Level,ColorBlack,Radiator Size240 mm,(2),€204.90Add
Lian Li Hydroshift II LCD-C TL (2),Fan RPM200 - 2600 RPM,Noise Level33 dB,ColorBlack,Radiator Size360 mm,(2),€203.94Add
NZXT Kraken Z73 (91),Fan RPM500 - 1800 RPM,Noise Level21 - 36 dB,ColorBlack,Radiator Size360 mm,(91),Add
Asus ROG Ryujin III ARGB Extreme (0),Fan RPM1 - 2800 RPM,Noise Level36 dB,ColorWhite,Radiator Size360 mm,(0),€400.36Add
Noctua NH-D15 G2 (6),Fan RPM1500 RPM,Noise Level24.8 dB,ColorBrown / Silver,Radiator Size,(6),€149.90Add
Thermalright Peerless Assassin 120 White (15),Fan RPM1550 RPM,Noise Level25.6 dB,ColorWhite,Radiator Size,(15),Add
Lian Li Hydroshift II LCD-S 360 TL (1),Fan RPM200 - 2600 RPM,Noise Level33 dB,ColorBlack,Radiator Size360 mm,(1),€241.10Add
Thermalright Frozen Notte ARGB (8),Fan RPM2000 RPM,Noise Level27.7 dB,ColorWhite,Radiator Size240 mm,(8),€55.90Add
Noctua NH-U12S chromax.black (127),Fan RPM300 - 1500 RPM,Noise Level18.6 - 22.4 dB,ColorBlack,Radiator Size,(127),€89.90Add
NZXT Kraken Plus 360 (0),Fan RPM500 - 2000 RPM,Noise Level30 dB,ColorBlack,Radiator Size360 mm,(0),€189.90Add
Thermalright AXP90-X47 (18),Fan RPM2700 RPM,Noise Level22.4 dB,ColorOrange / Brown,Radiator Size,(18),Add
Deepcool AK620 ZERO DARK (41),Fan RPM500 - 1850 RPM,Noise Level28 dB,ColorBlack,Radiator Size,(41),€81.80Add
NZXT Kraken Elite 360 RGB (2024) (9),Fan RPM500 - 2400 RPM,Noise Level30 dB,ColorBlack,Radiator Size360 mm,(9),€329.00Add
TRYX PANORAMA ARGB (2025) (2),Fan RPM500 - 1850 RPM,Noise Level28.87 dB,ColorWhite,Radiator Size360 mm,(2),€388.70Add
Lian Li Hydroshift II LCD-C TL (3),Fan RPM200 - 2600 RPM,Noise Level33 dB,ColorWhite,Radiator Size360 mm,(3),€241.10Add
Noctua NH-D15S chromax.black (69),Fan RPM300 - 1500 RPM,Noise Level19.2 - 24.6 dB,ColorBlack,Radiator Size,(69),€109.90Add
ARCTIC Liquid Freezer III Pro (3),Fan RPM400 - 2500 RPM,Noise Level,ColorBlack,Radiator Size280 mm,(3),€84.99Add
Thermalright Peerless Assassin 120 SE (12),Fan RPM1550 RPM,Noise Level25.6 dB,ColorBlack,Radiator Size,(12),€45.90Add
NZXT Kraken 240 RGB (11),Fan RPM500 - 1800 RPM,Noise Level17.9 - 30.6 dB,ColorWhite,Radiator Size240 mm,(11),€124.51Add
Thermalright AQUA ELITE ARGB V4 (1),Fan RPM1550 RPM,Noise Level25.6 dB,ColorWhite,Radiator Size360 mm,(1),Add
Thermalright Frozen Warframe ARGB (6),Fan RPM2000 RPM,Noise Level22.1 dB,ColorBlack,Radiator Size360 mm,(6),€97.03Add
be quiet! Dark Rock 5 (4),Fan RPM2100 RPM,Noise Level11.9 - 29.8 dB,ColorBlack,Radiator Size,(4),€81.03Add
