Name,Type,Color,Power Supply,Side Panel,External Volume,"Internal 3.5"" Bays",Rating,Price
Montech XR (75),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume45.0 L,"Internal 3.5"" Bays2",(75),€68.30Add
Phanteks XT PRO (15),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume51.8 L,"Internal 3.5"" Bays2",(15),€56.90Add
Corsair 3500X ARGB (9),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume55.9 L,"Internal 3.5"" Bays2",(9),€119.99Add
NZXT H5 Flow (2024) (14),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume45.0 L,"Internal 3.5"" Bays1",(14),€82.99Add
Corsair 3500X ARGB (19),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume55.9 L,"Internal 3.5"" Bays2",(19),€129.00Add
Lian Li O11 VISION COMPACT (25),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume57.4 L,"Internal 3.5"" Bays2",(25),€133.60Add
Cooler Master MasterBox Q300L (184),TypeMicroATX Mini Tower,ColorBlack,Power SupplyNone,Side PanelAcrylic,External Volume33.6 L,"Internal 3.5"" Bays1",(184),€49.96Add
Fractal Design North (74),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume45.1 L,"Internal 3.5"" Bays2",(74),€147.35Add
Lian Li Vector V100R (12),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume53.2 L,"Internal 3.5"" Bays1",(12),€84.10Add
Lian Li O11 VISION COMPACT (27),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume57.4 L,"Internal 3.5"" Bays2",(27),€133.60Add
HYTE Y70 Touch Infinite (6),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume70.7 L,"Internal 3.5"" Bays2",(6),€169.00Add
Lian Li O11 Dynamic Mini V2 (8),TypeATX Mini Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume45.4 L,"Internal 3.5"" Bays2",(8),€93.17Add
Phanteks Eclipse G370A (3),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume48.7 L,"Internal 3.5"" Bays0",(3),€65.80Add
Corsair FRAME 4000D RS ARGB (20),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume56.7 L,"Internal 3.5"" Bays2",(20),€109.90Add
Fractal Design North XL (21),TypeATX Full Tower,ColorBlack,Power SupplyNone,Side PanelTinted Tempered Glass,External Volume61.4 L,"Internal 3.5"" Bays2",(21),€178.17Add
Lian Li A3-mATX (25),TypeMicroATX Mini Tower,ColorBlack,Power SupplyNone,Side PanelMesh,External Volume26.3 L,"Internal 3.5"" Bays1",(25),€69.44Add
HYTE Y70 Touch Infinite (7),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume70.7 L,"Internal 3.5"" Bays2",(7),€400.20Add
Lian Li O11D EVO RGB (23),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume65.3 L,"Internal 3.5"" Bays4",(23),€164.83Add
Phanteks XT PRO ULTRA (25),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume51.8 L,"Internal 3.5"" Bays2",(25),€74.90Add
Lian Li Lancool 207 (30),TypeATX Mid Tower,ColorBlue,Power SupplyNone,Side PanelTempered Glass,External Volume45.5 L,"Internal 3.5"" Bays2",(30),€90.44Add
Lian Li O11 Dynamic Mini V2 (3),TypeATX Mini Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume45.4 L,"Internal 3.5"" Bays2",(3),€93.90Add
Lian Li A3-mATX (36),TypeMicroATX Mini Tower,ColorBlack / Brown,Power SupplyNone,Side PanelMesh,External Volume26.3 L,"Internal 3.5"" Bays1",(36),€84.49Add
Corsair 4000D Airflow (379),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTinted Tempered Glass,External Volume48.6 L,"Internal 3.5"" Bays2",(379),Out of stock€105.40Add
NZXT H3 Flow (12),TypeMicroATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTinted Tempered Glass,External Volume35.0 L,"Internal 3.5"" Bays1",(12),€69.95Add
NZXT H9 Flow (2025) (2),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTinted Tempered Glass,External Volume76.7 L,"Internal 3.5"" Bays2",(2),€161.80Add
Silverstone ALTA F2 (0),TypeATX Full Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume98.9 L,"Internal 3.5"" Bays8",(0),€934.90Add
NZXT H6 Flow (37),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume51.8 L,"Internal 3.5"" Bays1",(37),€119.95Add
Lian Li LANCOOL 217 (9),TypeATX Mid Tower,ColorBlack / Brown,Power SupplyNone,Side PanelTempered Glass,External Volume57.7 L,"Internal 3.5"" Bays1",(9),€111.17Add
HYTE Y70 (8),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume70.7 L,"Internal 3.5"" Bays2",(8),€233.00Add
Fractal Design Terra (24),TypeMini ITX Desktop,ColorBlack / Brown,Power SupplyNone,Side PanelMesh,External Volume11.4 L,"Internal 3.5"" Bays0",(24),€192.80Add
Lian Li O11 Dynamic EVO XL (19),TypeATX Full Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume84.4 L,"Internal 3.5"" Bays4",(19),€241.80Add
MUSETEX Y6 (4),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume40.9 L,"Internal 3.5"" Bays2",(4),Add
Montech AIR 903 MAX (63),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume54.2 L,"Internal 3.5"" Bays2",(63),€79.10Add
Fractal Design Pop XL Air (13),TypeATX Full Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume62.4 L,"Internal 3.5"" Bays3",(13),€108.17Add
Phanteks XT M3 (4),TypeMicroATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume40.0 L,"Internal 3.5"" Bays1",(4),€60.90Add
Lian Li O11 Dynamic Mini V2 Flow (6),TypeATX Mini Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume45.4 L,"Internal 3.5"" Bays2",(6),€103.70Add
HYTE Y70 (4),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume70.7 L,"Internal 3.5"" Bays2",(4),€219.17Add
Corsair FRAME 4000D (14),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume56.7 L,"Internal 3.5"" Bays2",(14),€99.95Add
Montech AIR 100 ARGB (50),TypeMicroATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume36.1 L,"Internal 3.5"" Bays2",(50),€48.35Add
NZXT H6 Flow (48),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume51.8 L,"Internal 3.5"" Bays1",(48),€112.14Add
Fractal Design Meshify C (301),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTinted Tempered Glass,External Volume40.6 L,"Internal 3.5"" Bays2",(301),€102.49Add
Montech AIR 903 BASE (17),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume54.2 L,"Internal 3.5"" Bays2",(17),€68.01Add
Montech XR (13),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume45.0 L,"Internal 3.5"" Bays2",(13),€68.30Add
Cooler Master MasterBox NR200 (50),TypeMini ITX Desktop,ColorBlack,Power SupplyNone,Side PanelNone,External Volume20.3 L,"Internal 3.5"" Bays2",(50),Add
Corsair 9000D RGB AIRFLOW (1),TypeATX Full Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume149.6 L,"Internal 3.5"" Bays5",(1),€538.99Add
Lian Li VECTOR V100R MINI (0),TypeMicroATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume42.9 L,"Internal 3.5"" Bays1",(0),€64.40Add
NZXT H7 Flow (2024) (8),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume62.1 L,"Internal 3.5"" Bays2",(8),€116.95Add
Lian Li O11D EVO RGB (11),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume65.3 L,"Internal 3.5"" Bays4",(11),€148.59Add
Lian Li A3-mATX (3),TypeMicroATX Mini Tower,ColorBlack / Brown,Power SupplyNone,Side PanelTempered Glass,External Volume26.3 L,"Internal 3.5"" Bays1",(3),€84.49Add
Antec C5 ARGB (34),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume,"Internal 3.5"" Bays1",(34),€117.80Add
Fractal Design North (36),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelMesh,External Volume45.1 L,"Internal 3.5"" Bays2",(36),€147.35Add
Lian Li LANCOOL 216 RGB (57),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume55.6 L,"Internal 3.5"" Bays2",(57),€100.40Add
NZXT H5 Flow (2024) (5),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume45.0 L,"Internal 3.5"" Bays1",(5),€89.00Add
Corsair 3500X (9),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume55.9 L,"Internal 3.5"" Bays2",(9),€89.95Add
MSI MAG FORGE 321R AIRFLOW (2),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume49.4 L,"Internal 3.5"" Bays2",(2),€76.98Add
Fractal Design Terra (26),TypeMini ITX Desktop,ColorGreen / Brown,Power SupplyNone,Side PanelMesh,External Volume11.4 L,"Internal 3.5"" Bays0",(26),€192.80Add
Antec C8 (12),TypeATX Full Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume66.9 L,"Internal 3.5"" Bays2",(12),€113.11Add
Lian Li Vector V100R (0),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume53.2 L,"Internal 3.5"" Bays1",(0),€84.10Add
Asus Prime AP201 (59),TypeMicroATX Mini Tower,ColorBlack,Power SupplyNone,Side PanelMesh,External Volume33.0 L,"Internal 3.5"" Bays3",(59),€81.90Add
Montech KING 95 PRO (38),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume63.0 L,"Internal 3.5"" Bays5",(38),€152.90Add
Thermaltake V100 Perforated (3),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelNone,External Volume36.6 L,"Internal 3.5"" Bays2",(3),Add
Asus ROG Strix Helios (15),TypeATX Full Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume83.5 L,"Internal 3.5"" Bays2",(15),€1587.69Add
Lian Li O11 Dynamic EVO XL (3),TypeATX Full Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume84.4 L,"Internal 3.5"" Bays4",(3),€251.70Add
Antec NX200M (7),TypeMicroATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume,"Internal 3.5"" Bays2",(7),€184.11Add
Lian Li A3-mATX (7),TypeMicroATX Mini Tower,ColorWhite / Brown,Power SupplyNone,Side PanelTempered Glass,External Volume26.3 L,"Internal 3.5"" Bays1",(7),€73.44Add
NZXT H9 Flow RGB+ (2025) (4),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTinted Tempered Glass,External Volume76.7 L,"Internal 3.5"" Bays2",(4),€275.83Add
Lian Li A4-H20 X4 (19),TypeMini ITX Desktop,ColorBlack,Power SupplyNone,Side PanelMesh,External Volume11.1 L,"Internal 3.5"" Bays0",(19),€167.45Add
Corsair 3000D AIRFLOW (7),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume49.5 L,"Internal 3.5"" Bays2",(7),€69.95Add
Deepcool CG530 4F (7),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTinted Acrylic,External Volume50.0 L,"Internal 3.5"" Bays2",(7),€72.35Add
NZXT H6 Flow RGB (17),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume51.8 L,"Internal 3.5"" Bays1",(17),€115.95Add
Fractal Design North (48),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume45.1 L,"Internal 3.5"" Bays2",(48),€147.35Add
Lian Li A3-mATX (10),TypeMicroATX Mini Tower,ColorWhite,Power SupplyNone,Side PanelMesh,External Volume26.3 L,"Internal 3.5"" Bays1",(10),€60.69Add
Jonsbo D32 PRO (11),TypeMicroATX Desktop,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume25.7 L,"Internal 3.5"" Bays2",(11),€73.90Add
Montech X3 Mesh (15),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume,"Internal 3.5"" Bays2",(15),€58.35Add
Corsair 7000D AIRFLOW (17),TypeATX Full Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume81.8 L,"Internal 3.5"" Bays6",(17),€337.90Add
Lian Li LANCOOL 217 INF (4),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume57.7 L,"Internal 3.5"" Bays4",(4),€114.44Add
Jonsbo NV10 (0),TypeMini ITX Desktop,ColorBlack / Brown,Power SupplyNone,Side PanelMesh,External Volume4.5 L,"Internal 3.5"" Bays0",(0),€101.36Add
Zalman T6 Mini (0),TypeMicroATX Mini Tower,ColorBlack,Power SupplyNone,Side PanelNone,External Volume18.6 L,"Internal 3.5"" Bays2",(0),Add
Fractal Design Ridge PCIe 4.0 (3),TypeMini ITX Tower,ColorBlack,Power SupplyNone,Side PanelMesh,External Volume16.3 L,"Internal 3.5"" Bays0",(3),€132.35Add
Asus ROG Strix Helios II (0),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume83.5 L,"Internal 3.5"" Bays2",(0),€334.79Add
MSI MPG Sekira 500G (0),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume67.1 L,"Internal 3.5"" Bays6",(0),Add
Lian Li O11 Dynamic Mini V2 Flow (1),TypeATX Mini Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume45.4 L,"Internal 3.5"" Bays2",(1),€103.70Add
HAVN BF 360 Flow (2),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume68.4 L,"Internal 3.5"" Bays2",(2),€192.70Add
Cooler Master Elite 301 (8),TypeMicroATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume34.1 L,"Internal 3.5"" Bays1",(8),€40.40Add
NZXT H9 Flow RGB+ (2025) (2),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume76.7 L,"Internal 3.5"" Bays2",(2),€304.89Add
Fractal Design Define R5 (61),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelNone,External Volume54.2 L,"Internal 3.5"" Bays8",(61),€123.80Add
NZXT H510 (167),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume41.3 L,"Internal 3.5"" Bays2",(167),Add
Antec FLUX PRO (8),TypeATX Full Tower,ColorBlack / Brown,Power SupplyNone,Side PanelTempered Glass,External Volume70.8 L,"Internal 3.5"" Bays4",(8),€192.80Add
Montech X5M (4),TypeMicroATX Mini Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume45.3 L,"Internal 3.5"" Bays2",(4),€47.47Add
Jonsbo Jonsplus Z20 (17),TypeMicroATX Desktop,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume25.3 L,"Internal 3.5"" Bays1",(17),€88.70Add
Jonsbo C6-ITX (0),TypeMini ITX Desktop,ColorBlack,Power SupplyNone,Side PanelMesh,External Volume15.9 L,"Internal 3.5"" Bays1",(0),€65.77Add
Fractal Design Pop Mini Air (39),TypeMicroATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume36.5 L,"Internal 3.5"" Bays2",(39),€84.95Add
Fractal Design North XL (4),TypeATX Full Tower,ColorBlack,Power SupplyNone,Side PanelMesh,External Volume61.4 L,"Internal 3.5"" Bays2",(4),€168.17Add
NZXT H6 Flow RGB (16),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume51.8 L,"Internal 3.5"" Bays1",(16),€140.86Add
NZXT H3 Flow (1),TypeMicroATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume35.0 L,"Internal 3.5"" Bays1",(1),€69.95Add
Thermaltake View 270 Plus TG ARGB (6),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume47.6 L,"Internal 3.5"" Bays2",(6),€89.90Add
Phanteks EVOLV X2 (7),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume60.9 L,"Internal 3.5"" Bays2",(7),€149.90Add
NZXT H9 Flow (2025) (1),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume76.7 L,"Internal 3.5"" Bays2",(1),€158.26Add
Cooler Master MasterBox NR200P V2 (3),TypeMini ITX Desktop,ColorBlack,Power SupplyNone,Side PanelMesh,External Volume20.1 L,"Internal 3.5"" Bays1",(3),€120.00Add
ADATA XPG INVADER X (0),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume52.1 L,"Internal 3.5"" Bays3",(0),€144.59Add
